ContractPVCName,ResidenceBuildingTypeCode,MonthlyDeviceNumber,TotalOctetReceived,TotalOctetTransmitted,Gender,ReAgreementYesNo,TransferYesNo,WifiSubscriptionYesNo,SalesSmallYesNo,InternetCount,WingsCount,MaxServiceAfscrbPassoverPeriod,MinAgreementExpirationRemainingMonthCount,MaxGeneralConsultationCount,MaxQualityConsultationCount,MaxTermConsultationCount,MaxSaleConsultationCount,MaxFeeConsultationCount,MaxEtcConsultationCount,InternetProductName,AgeGroup,iptv_yn
인천,아파트,0,0,0,M,N,N,N,N,0,0,39,0,0,0,0,0,0,0,Unknown,40대,Y
서울,아파트,0,0,0,M,Y,N,N,Unknown,0,0,118,0,0,0,0,0,0,0,Unknown,40대,Y
경남,아파트,0,0,0,F,Y,N,N,Unknown,0,0,142,0,0,0,0,0,0,0,Unknown,60대,Y
경기,아파트,0,0,0,M,N,Y,N,Y,1,0,176,0,0,0,0,0,0,0,광랜,40대,Y
전북,단독주택,0,0,0,F,N,Y,N,N,0,0,13,24,0,0,0,0,0,0,Unknown,60대,Y
서울,단독주택,0,0,0,F,Y,Y,N,Unknown,1,0,182,0,0,0,0,0,0,0,광랜,50대,N
충북,아파트,0,0,0,F,Y,N,N,N,0,0,51,32,0,0,0,0,0,0,Unknown,40대,Y
경남,아파트,0,0,0,M,N,N,N,N,0,0,33,4,0,0,0,0,0,0,Unknown,60대,Y
서울,아파트,0,0,0,M,N,N,N,N,0,0,23,14,0,0,0,0,0,0,Unknown,40대,Y
세종,아파트,0,0,0,F,Y,Y,N,N,1,0,122,0,0,0,0,0,0,0,광랜,70대,Y
제주,단독주택,0,0,0,F,N,N,N,N,0,0,112,0,0,0,0,0,0,0,Unknown,60대,Y
경기,아파트,0,0,0,M,Y,N,N,N,0,0,63,0,0,0,0,0,0,0,Unknown,70대,Y
경기,아파트,0,0,0,M,N,N,N,Unknown,0,0,128,0,0,0,0,0,0,0,Unknown,50대,Y
전남,일반건물,0,0,0,M,N,N,N,N,0,0,16,21,0,0,0,0,0,0,Unknown,40대,Y
광주,공동주택,0,0,0,F,N,N,N,N,0,0,50,0,0,0,0,0,0,0,Unknown,50대,Y
인천,아파트,0,0,0,M,N,Y,N,N,1,0,64,0,0,0,0,0,0,0,광랜,50대,N
전남,아파트,0,0,0,F,Y,N,N,Y,0,0,118,11,0,0,0,1,0,1,Unknown,50대,Y
